Date,NAV
2024-01-02,30000000.0
2024-01-03,30000000.0
2024-01-04,30000000.0
2024-01-05,30000000.0
2024-01-08,30000000.0
2024-01-09,30000000.0
2024-01-10,30000000.0
2024-01-11,30002295.4339
2024-01-12,30007221.4339
2024-01-15,30012147.4339
2024-01-16,30078930.0198375
2024-01-17,30098011.5198375
2024-01-18,30117093.0198375
2024-01-19,30136174.5198375
2024-01-22,30155256.0198375
2024-01-23,30174337.5198375
2024-01-24,30193419.0198375
2024-01-25,30212500.5198375
2024-01-26,30231582.0198375
2024-01-29,30250663.5198375
2024-01-30,30269745.0198375
2024-01-31,30288826.5198375
2024-02-01,30307908.0198375
2024-02-02,30326989.5198375
2024-02-05,30346071.0198375
2024-02-06,30365152.5198375
2024-02-07,30384234.0198375
2024-02-08,30403315.5198375
2024-02-09,30422397.0198375
2024-02-12,30441478.5198375
2024-02-13,30460560.0198375
2024-02-14,30479641.5198375
2024-02-15,30498723.0198375
2024-02-16,30517804.5198375
2024-02-19,30536886.0198375
2024-02-20,30555967.5198375
2024-02-21,30554581.4487875
2024-02-22,30568736.9487875
2024-02-23,30582892.4487875
2024-02-26,30597047.9487875
2024-02-27,30611203.4487875
2024-02-28,30625358.9487875
2024-02-29,30639514.4487875
2024-03-01,30653669.9487875
2024-03-04,30667825.4487875
2024-03-05,30681980.9487875
2024-03-06,30696136.4487875
2024-03-07,30710291.9487875
2024-03-08,30724447.4487875
2024-03-11,30738602.9487875
2024-03-12,30752758.4487875
2024-03-13,30766913.9487875
2024-03-14,30781069.4487875
2024-03-15,30795224.9487875
2024-03-18,30809380.4487875
2024-03-19,30823535.9487875
2024-03-20,30837691.4487875
2024-03-21,30851846.9487875
2024-03-22,30866002.4487875
2024-03-25,30880157.9487875
2024-03-26,30894313.4487875
2024-03-27,30908468.9487875
2024-03-28,30922624.4487875
2024-03-29,30936779.9487875
